prix,lc,age,qtm,xp,tc
"14,332,500",4/6,20,74,6,871
"11,000,000",2/6,25,77,60,1258
"30,000",5/6,19,69,3,603
"10,000",6/6,16,68,2,341
"100,000",3/6,26,51,47,893
"40,000",6/6,15,53,0,413
"10,000",5/6,16,81,0,444
"30,000",6/6,15,81,0,422
"10,000",6/6,17,59,2,317
"1,050,000",6/6,16,60,0,513
"160,000",3/6,23,60,41,815
"100,000",4/6,17,59,0,663
"2,680,192",3/6,25,64,71,988
"27,935,343",3/6,24,98,47,1444
"10,500,000",3/6,27,71,70,1412
"14,235,610",4/6,25,60,49,1407
"4,653,984",3/6,24,75,28,1105
"16,194,255",4/6,22,90,32,1308
"1,389,150",3/6,23,75,25,957
"3,500,000",4/6,18,84,4,822
"15,000,000",4/6,18,64,8,825
"2,010,144",4/6,22,61,24,839
"20,000",2/6,23,65,18,733
"2,010,144",2/6,24,55,53,956
"10,000",3/6,24,69,23,636
"10,000",3/6,25,42,10,711
"30,000",1/6,25,60,70,779
"1,102,500",2/6,26,77,45,744
"4,000,000",6/6,17,82,1,486
"3,000,000",1/6,28,68,102,808
"50,000",6/6,16,88,0,397
"630,000",5/6,17,60,1,522
"1,000,000",2/6,27,51,60,883
"7,000,000",3/6,27,79,56,1365
"5,000,000",3/6,27,55,109,1076
"15,000,015",2/6,27,70,124,1347
"100,000",2/6,27,55,100,904
"2,100,001",1/6,30,35,34,678
"10,000",1/6,30,78,126,884
"1,000,000",2/6,27,56,90,961
"38,000,000",2/6,27,67,72,1511
"10,000,000",2/6,27,45,62,939
"10,000",5/6,16,58,0,373
"30,000",6/6,16,60,0,336
"30,000",6/6,15,63,0,419
"10,000",5/6,15,70,0,380
"20,000",6/6,15,72,0,321
"10,000",5/6,16,71,0,364
"10,000",5/6,18,54,6,536
"1,580,159",3/6,22,73,23,738
"2,702,608",4/6,21,81,25,965
"10,000",6/6,15,63,0,330
"35,000",5/6,16,89,0,395
"60,000",5/6,15,58,0,404
"10,000",6/6,15,52,0,353
"20,000",6/6,15,55,0,398
"10,000",5/6,16,74,1,495
"7,657,690",3/6,22,61,40,1078
"15,100,061",1/6,27,80,93,1142
"250,000",6/6,16,57,2,537
"11,000",5/6,16,69,0,560
"500,000",5/6,16,92,0,384
"140,000",5/6,21,97,44,761
"525,000",2/6,26,66,48,855
"20,000",5/6,16,74,1,486
"1,350,000",5/6,19,67,14,772
"40,000",3/6,28,55,108,889
"1,653,750",3/6,26,60,83,1089
"20,000",5/6,17,74,2,549
"1,051,050",2/6,27,53,72,1003
"210,000",3/6,23,75,35,801
"10,000",2/6,25,33,44,502
"10,000",6/6,16,69,2,531
"10,000",5/6,17,63,2,575
